,NO,Gender,Bornyear,Race,Player,Sportyear,Bestpride,Income,PrantEdu,PersonalEdu,WantJob,SS01,SS02,SS03,SS04,SS05,SS06,SS07,SS08,SS09,SS10,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,CB01,CB02,CB03,CB04,CB05,CB06,CB07,CB08,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,SST1,SST1M
656,10657,female,81,2.0,0,5.0,2,2,5,2,1,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,16,4.0
657,10658,female,82,2.0,0,7.0,3,2,3,2,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,16,4.0
658,10659,male,81,1.0,0,7.0,2,2,3,3,1,5,5,5,5,4,3,3,3,2,2,2,2,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,5.0
659,10660,female,82,2.0,0,4.0,2,1,4,3,1,4,4,4,4,5,5,5,5,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,3,4,4,4,4,5,5,4,4,4,3,4,4,4,4,16,4.0
660,10661,male,82,2.0,0,3.0,2,2,3,2,1,2,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,2,2,3,4,4,4,4,4,3,4,4,3,4,3,2,2,4,13,3.25
661,10662,female,81,2.0,0,6.0,2,1,3,2,0,4,4,4,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,5,3,4,4,3,4,4,3,3,3,4,15,3.75
662,10663,female,82,1.0,0,5.0,2,3,6,4,1,4,4,4,5,3,3,3,3,4,4,3,4,3,4,3,1,1,2,2,2,3,3,2,3,4,5,3,5,4,3,4,2,3,3,3,3,2,3,17,4.25
663,10664,female,81,2.0,0,6.0,2,1,2,3,0,1,2,2,2,4,3,5,4,4,3,3,3,2,3,4,4,2,3,3,3,3,3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,7,1.75
664,10665,female,82,2.0,0,9.0,3,2,5,3,1,2,3,3,1,4,2,4,3,4,3,3,3,3,4,5,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,9,2.25
665,10666,male,82,1.0,0,3.0,2,2,3,4,0,4,5,4,3,5,3,4,3,5,4,4,5,4,4,5,4,1,4,2,2,3,2,3,3,3,3,2,5,5,3,4,4,4,3,3,2,2,2,16,4.0
666,10667,male,81,1.0,0,3.0,2,1,2,4,1,3,5,5,4,5,5,5,5,5,5,3,3,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,17,4.25
667,10668,male,82,2.0,0,5.0,2,2,3,2,1,3,3,3,3,2,3,4,3,3,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,3,3,3,3,3,4,4,4,12,3.0
668,10669,male,82,2.0,0,4.0,2,1,5,2,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,18,4.5
669,10670,male,81,1.0,0,8.0,3,1,2,3,1,2,3,4,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,4,4,4,4,4,4,4,4,4,4,11,2.75
670,10671,male,82,1.0,0,3.0,2,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,4,4,4,3,5,5,4,4,4,4,4,4,4,3,15,3.75
671,10672,male,81,,0,6.0,2,2,4,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,4,3,3,16,4.0
672,10673,male,81,1.0,0,8.0,2,2,3,3,1,2,4,4,3,4,3,4,2,5,5,5,5,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,13,3.25
673,10674,female,81,2.0,0,3.0,2,1,3,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,3.0
674,10675,male,82,1.0,0,3.0,2,1,3,2,1,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,3,2,3,5,4,4,4,4,4,4,4,4,3,3,3,3,3,14,3.5
675,10676,female,82,1.0,0,5.0,2,1,1,3,1,1,1,1,1,3,3,2,2,5,3,3,4,4,4,4,3,3,3,3,3,2,2,2,2,4,4,3,4,4,4,4,4,4,3,3,3,3,2,4,1.0
676,10677,male,82,2.0,0,6.0,2,2,4,2,0,3,4,4,3,5,4,4,3,5,4,5,5,5,4,5,2,2,3,3,4,3,3,2,4,3,5,2,5,4,4,4,5,3,4,5,5,4,5,14,3.5
677,10678,female,81,2.0,0,8.0,2,2,2,2,1,3,4,4,2,4,3,4,3,5,5,5,5,4,4,4,4,4,4,4,4,5,4,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,13,3.25
678,10679,male,81,1.0,0,8.0,2,2,2,2,1,2,3,3,2,2,2,2,2,4,4,4,4,2,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,10,2.5
679,10680,male,81,2.0,0,5.0,2,2,3,2,1,3,4,3,3,4,4,4,5,3,3,4,5,5,4,4,4,4,5,5,5,3,3,2,5,5,5,5,5,5,5,3,5,3,2,2,5,3,3,13,3.25
680,10681,male,82,1.0,0,4.0,1,2,3,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,4,4,3,3,3,5,3,3,4,4,4,3,3,4,3,3,12,3.0
681,10682,male,80,1.0,0,4.0,2,1,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,5.0
682,10683,female,82,,1,4.0,1,1,2,4,1,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,19,4.75
683,10684,male,82,1.0,0,8.0,2,2,5,3,1,3,3,3,3,5,5,5,5,3,3,3,3,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,12,3.0
684,10685,male,82,1.0,0,12.0,2,1,3,2,0,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15,3.75
685,10686,male,81,1.0,0,9.0,2,1,3,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,2,4,4,4,4,4,4,3,3,3,3,4,15,3.75
686,10687,male,82,1.0,0,9.0,2,1,1,99,0,2,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,10,2.5
687,10688,female,82,1.0,0,9.0,2,1,2,1,1,4,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,18,4.5
688,10689,male,82,1.0,0,4.0,1,1,3,2,1,2,3,4,3,4,4,4,4,3,3,3,3,4,5,5,4,5,5,5,5,5,2,2,1,4,4,3,4,4,4,3,4,3,3,2,2,2,2,12,3.0
689,10690,female,82,1.0,0,12.0,1,1,4,4,1,3,5,5,4,5,5,5,5,5,5,5,5,3,4,4,4,5,5,5,5,4,4,3,3,4,5,4,5,4,4,5,5,5,5,5,5,5,5,17,4.25
690,10691,female,82,1.0,0,12.0,2,1,2,2,1,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,5,5,5,5,5,4,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,20,5.0
691,10692,male,82,1.0,0,9.0,2,1,2,1,0,1,4,5,4,5,5,5,5,5,3,1,2,1,4,5,5,2,3,3,1,5,4,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,14,3.5
692,10693,female,81,1.0,0,12.0,2,1,1,2,0,5,5,3,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,16,4.0
693,10694,male,82,1.0,0,7.0,2,1,3,2,1,3,4,4,4,5,5,5,5,5,4,4,5,4,4,4,5,3,5,3,2,2,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,15,3.75
694,10695,male,81,1.0,0,6.0,2,2,4,1,1,3,3,4,3,4,3,4,4,4,4,4,4,3,3,3,4,3,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,4,4,3,4,13,3.25
695,10696,male,82,1.0,0,9.0,2,2,3,2,1,3,3,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,13,3.25
696,10697,male,81,1.0,0,6.0,2,1,2,1,0,3,3,3,3,4,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,3,3,4,4,3,4,3,4,3,12,3.0
697,10698,male,81,1.0,0,16.0,2,1,2,1,0,4,5,5,4,4,4,4,4,4,4,5,5,3,3,3,4,4,3,4,4,4,4,4,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,18,4.5
698,10699,male,82,1.0,0,12.0,2,1,3,2,0,3,5,5,5,5,5,5,5,5,5,5,5,3,5,4,4,3,4,4,4,3,3,3,3,3,5,5,3,4,4,4,4,4,3,3,4,4,4,18,4.5
699,10700,male,82,1.0,0,6.0,3,1,4,1,0,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,3,3,2,2,2,2,2,12,3.0
700,10701,male,82,1.0,0,11.0,1,3,5,3,0,4,5,4,5,5,4,5,4,5,5,4,5,4,5,5,5,2,4,1,2,4,4,4,2,5,5,3,4,4,4,4,4,4,4,2,2,3,3,18,4.5
701,10702,male,82,1.0,0,10.0,1,3,5,2,0,4,5,4,5,5,4,5,4,5,5,4,5,4,5,5,5,2,4,1,2,4,4,4,2,5,5,3,5,4,4,4,4,4,4,2,2,3,3,18,4.5
702,10703,male,81,,0,10.0,2,3,3,2,0,5,5,4,4,5,4,3,4,4,3,4,4,4,3,3,3,4,5,4,5,4,4,5,5,4,3,3,5,4,3,3,4,5,5,3,3,3,3,18,4.5
703,10704,male,81,,0,8.0,2,3,3,1,0,4,3,3,3,4,3,4,4,4,3,3,3,4,5,2,3,3,3,3,3,4,4,4,4,4,3,2,4,4,4,4,3,3,5,3,3,5,3,13,3.25
704,10705,male,81,,0,8.0,2,3,3,3,0,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,3,3,3,3,15,3.75
705,10706,male,82,,0,12.0,1,3,6,4,1,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,2,2,4,2,4,4,4,4,4,4,3,2,4,4,4,4,3,2,2,3,4,3,3,16,4.0
706,10707,male,81,1.0,0,10.0,1,3,5,4,0,1,1,1,1,1,1,1,1,2,3,1,3,2,2,1,1,4,2,2,3,3,1,2,4,1,1,3,1,1,3,3,3,4,3,4,2,4,3,4,1.0
707,10708,male,81,1.0,0,7.0,1,3,6,4,0,3,4,4,4,4,4,4,4,3,2,2,3,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,4,4,4,4,4,15,3.75
708,10709,male,81,1.0,0,8.0,1,3,6,3,0,3,4,4,4,4,4,4,4,3,2,2,3,4,4,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,4,4,4,4,4,15,3.75
709,10710,male,81,1.0,0,10.0,3,2,3,4,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,5.0
710,10711,male,82,1.0,1,10.0,1,3,2,4,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,5.0
711,10712,male,81,1.0,1,6.0,1,2,5,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,12,3.0
712,10713,male,82,1.0,0,6.0,1,2,4,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,3.0
713,10714,male,81,1.0,1,8.0,1,2,3,1,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,16,4.0
714,10715,male,81,1.0,1,10.0,1,2,2,4,1,3,3,3,4,5,4,4,4,4,3,3,3,4,3,3,3,4,5,5,5,4,4,3,4,5,4,4,3,3,3,3,4,3,3,4,3,4,3,13,3.25
715,10716,male,81,1.0,1,5.0,1,2,2,3,1,5,5,5,3,4,3,3,4,4,3,3,3,4,5,5,3,3,3,4,3,4,3,4,4,4,5,4,4,3,3,4,5,4,5,4,4,4,4,18,4.5
716,10717,male,81,1.0,1,6.0,1,2,3,1,1,3,3,3,4,3,3,3,3,4,4,4,3,3,3,4,3,4,3,3,3,4,4,5,3,5,5,4,3,3,3,3,3,3,3,3,3,3,3,13,3.25
717,10718,male,82,1.0,0,4.0,2,1,1,2,1,3,3,3,3,5,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,3.0
718,10719,male,81,,1,5.0,3,2,1,2,0,1,2,3,1,5,5,5,5,5,5,5,5,3,4,4,4,3,3,3,3,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,7,1.75
719,10720,male,82,2.0,0,8.0,2,2,1,2,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,1,1,4,5,4,4,5,5,5,5,5,5,5,5,5,5,3,3,3,3,19,4.75
720,10721,male,82,2.0,0,8.0,3,2,1,2,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,3,3,3,3,19,4.75
721,10722,male,82,2.0,0,10.0,1,3,3,4,1,3,3,4,3,3,5,4,3,4,4,3,2,3,3,3,3,5,5,4,3,5,4,4,3,2,2,2,4,4,4,4,4,4,4,4,4,4,3,13,3.25
722,10723,male,82,1.0,0,8.0,1,2,3,4,0,1,4,5,5,5,4,5,5,5,3,3,5,4,4,4,3,5,5,5,5,3,3,3,3,3,3,4,5,4,4,2,2,3,4,3,3,3,3,15,3.75
723,10724,female,82,2.0,0,10.0,2,1,5,4,1,4,4,5,4,4,5,4,5,4,5,4,5,4,3,4,4,5,4,4,3,4,5,4,5,4,4,3,5,4,5,4,5,4,5,4,4,5,5,17,4.25
724,10725,male,81,1.0,0,8.0,2,3,3,4,0,3,4,4,4,3,5,4,3,4,4,5,4,4,4,5,5,4,4,5,4,4,4,5,5,5,4,4,3,3,4,5,4,4,3,3,4,5,4,15,3.75
725,10726,male,81,1.0,1,7.0,1,2,3,3,0,3,4,4,3,5,5,5,5,5,5,5,5,4,4,4,3,4,3,3,3,5,4,4,4,4,3,5,5,3,4,3,3,4,3,5,4,4,4,14,3.5
726,10727,male,81,1.0,0,5.0,2,3,3,4,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,5.0
727,10728,female,81,1.0,1,3.0,1,3,6,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,16,4.0
728,10729,male,81,1.0,0,10.0,1,3,3,4,1,5,4,3,2,3,3,4,3,2,3,4,3,2,3,3,4,3,2,3,4,2,3,3,2,3,4,2,4,5,4,3,3,2,2,2,3,2,3,14,3.5
729,10730,male,81,3.0,0,7.0,2,2,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,3,4,3,16,4.0
730,10731,male,81,3.0,0,7.0,2,2,3,2,1,4,4,4,3,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,15,3.75
731,20001,male,77,1.0,0,13.0,2,1,3,2,1,4,4,4,3,4,4,3,3,4,3,3,4,3,4,4,4,3,2,3,4,4,3,4,2,3,2,3,3,4,3,3,4,3,2,3,3,4,3,15,3.75
732,20002,male,78,1.0,0,10.0,2,1,3,3,1,4,3,5,5,5,5,5,5,5,5,5,5,4,4,4,1,2,2,2,2,2,2,4,4,4,5,5,5,5,5,4,5,4,3,3,1,2,3,17,4.25
733,20003,male,77,1.0,0,12.0,1,1,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
734,20004,female,77,2.0,1,7.0,1,2,3,2,1,4,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,17,4.25
735,20005,male,77,1.0,0,6.0,3,1,1,2,0,3,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,15,3.75
736,20006,female,77,,0,9.0,1,2,4,3,0,2,4,4,3,4,4,4,4,4,3,3,4,3,2,2,5,2,4,3,3,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,5,5,4,13,3.25
737,20007,female,77,1.0,0,14.0,2,2,2,3,1,3,5,5,4,5,5,4,4,5,5,5,5,3,3,3,3,3,4,3,3,4,3,3,4,4,4,4,4,5,4,4,3,3,3,4,3,3,4,17,4.25
738,20008,male,77,1.0,0,6.0,2,1,4,4,1,4,4,5,4,5,5,5,4,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,17,4.25
739,20009,male,78,3.0,0,10.0,2,1,2,3,1,2,3,3,4,5,4,5,5,5,5,5,5,4,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4,3,3,3,3,3,3,4,4,4,12,3.0
740,20010,male,78,1.0,0,4.0,3,1,3,2,0,4,4,4,4,2,2,2,2,4,4,4,4,3,3,3,3,3,4,4,4,2,1,1,3,4,4,3,4,4,4,4,4,4,2,1,1,2,2,16,4.0
741,20011,female,78,,0,9.0,2,1,1,3,1,2,4,5,3,4,5,5,5,4,4,3,4,3,4,4,2,2,2,3,3,4,4,2,5,4,5,4,5,4,5,4,4,4,5,4,4,4,4,14,3.5
742,20012,male,77,1.0,0,10.0,2,2,5,99,1,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
743,20013,male,77,1.0,0,8.0,2,1,2,3,0,4,4,4,3,5,5,5,5,3,3,3,3,3,3,3,4,2,3,2,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,15,3.75
744,20014,female,78,1.0,0,14.0,2,3,3,3,1,2,3,4,3,2,3,3,3,5,4,4,5,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,12,3.0
745,20015,female,78,1.0,0,12.0,3,2,2,4,1,4,5,5,5,5,5,5,5,5,5,5,5,3,4,5,4,3,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,4.75
746,20016,male,78,1.0,0,10.0,2,3,3,3,1,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,5,4,5,5,5,20,5.0
747,20017,female,77,1.0,0,5.0,3,2,2,4,1,4,3,5,3,5,5,5,5,4,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,3,15,3.75
748,20018,female,78,2.0,1,4.0,1,2,4,3,1,5,5,5,5,5,5,5,5,5,4,4,5,3,3,4,4,2,3,3,3,4,3,4,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,20,5.0
749,20019,female,78,1.0,1,4.0,1,1,4,2,1,2,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,4,4,4,4,4,4,5,4,14,3.5
750,20020,female,77,1.0,0,8.0,2,2,3,2,1,3,4,3,3,3,3,3,3,2,4,4,4,3,4,3,4,3,4,3,3,3,3,3,2,4,3,4,3,4,3,3,4,4,4,3,3,3,4,13,3.25
751,20021,female,78,1.0,0,2.0,2,2,3,4,1,1,3,3,3,5,5,5,5,4,4,4,4,5,5,5,3,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,2.5
752,20022,female,78,1.0,1,7.0,1,3,5,3,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,18,4.5
753,20023,female,78,1.0,0,12.0,2,2,3,3,1,2,4,5,4,5,5,4,5,5,5,5,5,4,4,4,5,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,5,3,4,4,4,5,4,15,3.75
754,20024,female,77,2.0,0,10.0,2,2,3,3,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,14,3.5
755,20025,male,77,,0,14.0,2,3,4,3,1,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,3,4,4,4,4,13,3.25
756,20026,male,78,1.0,0,3.0,2,1,3,2,1,5,4,4,5,4,5,4,4,4,5,5,4,4,5,4,4,4,5,5,4,4,4,4,4,4,4,5,4,5,4,4,5,4,5,5,5,4,5,18,4.5
757,20027,male,76,1.0,0,9.0,2,1,3,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,3.0
758,20028,male,77,1.0,1,12.0,1,3,2,4,1,1,2,2,3,4,4,4,4,3,3,4,4,3,3,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,8,2.0
759,20029,male,78,2.0,0,7.0,2,3,5,3,1,3,4,4,4,4,5,5,4,5,5,4,4,5,4,3,4,2,3,2,3,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5,5,4,5,15,3.75
760,20030,male,77,1.0,1,8.0,1,3,2,3,1,2,4,4,3,4,4,4,4,4,4,4,4,2,3,4,3,1,1,1,1,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,13,3.25
761,20031,female,77,1.0,0,11.0,3,1,2,3,1,3,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,2,2,3,3,4,4,3,4,4,4,3,2,2,2,2,2,2,2,13,3.25
762,20032,male,78,1.0,0,7.0,2,1,5,2,1,3,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3,2,3,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,14,3.5
763,20033,male,77,1.0,0,7.0,2,2,3,3,0,2,4,4,2,2,2,2,2,4,3,4,5,4,4,4,4,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,12,3.0
764,20034,female,77,2.0,0,13.0,1,2,3,3,1,2,5,5,5,5,5,5,5,4,4,5,5,4,3,2,3,4,4,3,5,4,4,3,5,5,5,4,4,5,5,5,5,5,5,4,3,4,3,17,4.25
765,20035,male,77,3.0,0,5.0,3,2,1,2,0,3,3,3,3,4,4,4,3,3,4,3,4,2,3,4,3,2,3,4,3,3,4,2,3,4,3,3,3,3,4,2,3,4,3,4,3,3,4,12,3.0
766,20036,male,77,1.0,0,12.0,3,2,3,3,1,4,5,5,3,4,3,4,3,4,4,4,4,3,4,4,4,3,3,3,4,4,5,4,3,4,5,4,4,4,3,4,3,3,4,3,3,4,3,17,4.25
767,20037,female,78,1.0,0,4.0,3,1,4,2,0,2,4,4,4,3,3,2,4,5,5,5,5,3,3,5,3,3,3,3,3,4,4,4,4,4,4,5,5,4,4,4,5,4,4,4,4,4,4,14,3.5
768,20038,male,78,3.0,0,13.0,2,2,1,2,0,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,14,3.5
769,20039,female,78,1.0,0,6.0,2,2,4,4,0,4,3,3,4,5,5,5,5,4,3,4,5,5,3,5,5,4,5,3,4,3,3,2,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,14,3.5
770,20040,male,78,1.0,0,7.0,2,2,4,2,0,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,3.0
771,20041,female,78,1.0,0,6.0,2,3,2,4,0,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,4,14,3.5
772,20042,female,77,1.0,0,5.0,2,1,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
773,20043,female,78,1.0,0,9.0,1,2,3,3,0,1,3,5,3,5,5,5,5,4,4,4,4,5,4,5,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,3.0
774,20044,male,77,2.0,0,6.0,3,2,3,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
775,20045,male,78,1.0,0,10.0,2,99,99,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,5.0
776,20046,female,78,1.0,1,11.0,1,2,4,3,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,5.0
777,20047,female,77,1.0,0,0.0,3,1,4,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,3.0
778,20048,male,77,1.0,1,7.0,3,1,2,2,0,1,2,4,5,1,5,5,5,5,5,5,5,4,4,4,1,1,1,1,5,5,5,5,4,5,5,5,3,5,4,4,4,4,5,5,5,4,5,12,3.0
779,20049,male,77,1.0,0,14.0,3,1,3,2,1,2,5,5,3,4,5,3,4,4,4,1,4,4,5,5,5,3,1,3,3,3,5,3,4,3,5,5,5,5,4,4,4,4,3,4,4,2,3,15,3.75
