,NO,Gender,Bornyear,Race,Player,Sportyear,Bestpride,Income,PrantEdu,PersonalEdu,WantJob,SS01,SS02,SS03,SS04,SS05,SS06,SS07,SS08,SS09,SS10,SS11,SS12,SS13,SS14,SS15,SS16,SS17,SS18,SS19,SS20,CB01,CB02,CB03,CB04,CB05,CB06,CB07,CB08,CD01,CD02,CD03,CD04,CD05,CD06,CD07,CD08,CD09,CD10,SST1,SST1M
563,10564,male,81,1.0,0,5.0,2,1,3,2,0,2,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,12,3.0
564,10565,male,82,1.0,0,8.0,1,1,3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,16,4.0
565,10566,female,82,1.0,0,11.0,2,1,5,2,1,2,4,5,4,4,5,4,4,4,5,5,4,4,4,4,3,3,4,3,5,4,4,5,5,4,4,5,5,4,4,5,5,5,4,4,4,4,4,15,3.75
566,10567,male,82,1.0,0,3.0,2,2,4,2,1,2,4,3,4,4,3,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,3.25
567,10568,female,82,1.0,0,9.0,3,1,3,2,1,4,4,4,2,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,3.5
568,10569,male,82,1.0,0,3.0,2,99,4,2,1,4,5,5,3,5,4,4,5,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,4,3,4,3,4,4,4,3,3,3,3,3,3,3,4,17,4.25
569,10570,female,82,1.0,0,7.0,2,2,2,2,0,5,5,2,3,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,4,5,3,5,4,5,4,4,4,4,4,4,4,4,15,3.75
570,10571,male,81,1.0,0,7.0,2,1,2,2,1,4,5,4,3,5,5,5,5,5,5,5,5,4,4,3,4,5,5,5,5,3,4,3,3,5,5,5,5,4,4,3,3,3,3,3,4,4,3,16,4.0
571,10572,female,82,1.0,0,5.0,2,1,3,2,0,3,3,1,1,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,2,3,2,1,4,5,3,4,3,4,4,4,4,3,2,2,2,2,8,2.0
572,10573,female,82,1.0,0,6.0,2,1,3,2,0,1,4,5,5,5,5,5,5,4,3,3,3,4,4,4,4,1,3,2,2,1,1,2,2,4,5,1,4,4,4,5,4,4,1,1,1,1,3,15,3.75
573,10574,male,81,1.0,0,6.0,2,1,2,2,0,1,2,3,3,5,5,5,5,5,5,5,5,3,3,3,3,3,2,2,2,3,3,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,9,2.25
574,10575,male,82,1.0,0,6.0,2,1,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,16,4.0
575,10576,male,82,1.0,0,6.0,2,1,2,2,0,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,5,5,5,5,5,4,2,4,5,4,5,5,5,4,4,5,5,5,20,5.0
576,10577,male,82,1.0,0,8.0,2,1,3,2,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,19,4.75
577,10578,male,81,1.0,0,6.0,2,2,3,2,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,3,3,3,4,4,4,4,4,4,3,3,3,3,2,2,3,3,12,3.0
578,10579,male,82,2.0,0,10.0,2,3,2,2,1,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,4.25
579,10580,male,82,1.0,0,6.0,2,1,3,2,1,3,4,5,3,4,4,4,4,5,5,4,4,5,5,5,4,5,5,5,4,4,4,4,4,5,5,4,5,4,5,4,5,4,4,5,4,5,5,15,3.75
580,10581,male,81,3.0,0,6.0,2,1,3,2,1,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,4,3,4,4,3,4,3,4,3,3,3,4,3,3,3,3,3,3,15,3.75
581,10582,male,81,1.0,0,3.0,2,3,6,4,1,4,4,3,4,5,5,5,5,4,3,5,4,4,3,4,3,3,2,3,3,5,4,4,5,4,4,5,4,4,3,5,5,5,5,5,4,5,5,15,3.75
582,10583,male,81,1.0,0,5.0,2,1,2,2,0,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,3,4,4,4,3,3,3,3,3,15,3.75
583,10584,male,82,2.0,1,8.0,3,1,3,3,1,2,2,2,4,3,3,3,3,1,1,1,1,3,4,4,4,4,4,4,4,2,2,4,3,2,5,5,5,5,5,2,2,5,2,2,2,2,2,10,2.5
584,10585,male,82,1.0,0,6.0,2,3,3,2,0,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,2,5,3,3,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,12,3.0
585,10586,male,81,2.0,0,6.0,1,2,2,3,1,4,5,5,4,4,4,4,4,5,5,5,5,3,4,4,4,5,4,4,4,3,3,2,4,5,3,4,4,4,4,4,3,3,2,4,3,2,4,18,4.5
586,10587,male,81,1.0,0,6.0,2,3,3,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,3.0
587,10588,male,80,1.0,0,5.0,2,2,4,4,1,3,5,5,5,5,5,5,4,5,5,5,5,3,3,4,4,3,3,3,3,2,3,3,5,4,5,5,4,3,3,2,3,3,3,3,2,3,2,18,4.5
588,10589,male,82,1.0,0,8.0,2,2,2,2,0,2,3,4,3,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,4,3,4,4,4,3,3,3,4,3,3,4,3,12,3.0
589,10590,male,82,1.0,0,7.0,2,1,3,2,0,4,4,4,3,5,5,5,5,4,4,3,3,3,4,4,4,4,4,3,4,2,3,3,4,4,4,3,5,4,3,2,3,3,2,3,2,3,4,15,3.75
590,10591,male,82,1.0,0,10.0,2,1,2,2,0,4,4,3,3,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,3.5
591,10592,male,82,1.0,0,8.0,2,1,2,2,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1.25
592,10593,male,81,2.0,0,9.0,2,1,3,2,0,4,4,4,4,3,4,4,4,4,4,4,4,3,4,5,5,4,5,5,5,3,3,4,3,5,4,3,4,4,4,4,4,4,3,4,4,4,4,16,4.0
593,10594,male,82,2.0,0,6.0,2,1,3,2,1,1,3,3,3,5,5,5,5,5,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,5,4,4,4,4,4,3,3,4,3,4,10,2.5
594,10595,male,81,2.0,0,5.0,2,2,3,2,1,2,2,2,3,5,5,4,4,3,3,3,3,3,2,3,3,1,2,4,4,3,3,2,3,3,4,4,5,4,3,2,3,4,2,3,4,3,3,9,2.25
595,10596,male,82,1.0,0,7.0,2,2,5,2,1,3,3,3,4,5,4,4,5,4,4,3,5,4,3,5,4,5,4,4,4,3,3,3,2,4,4,3,3,4,3,5,4,4,2,2,2,3,3,13,3.25
596,10597,male,82,1.0,0,6.0,2,1,3,2,0,3,4,3,2,5,5,5,5,5,3,4,4,4,5,5,5,3,4,4,4,5,5,4,3,5,5,5,5,4,3,4,4,3,3,5,5,3,5,12,3.0
597,10598,female,81,1.0,0,10.0,2,1,6,2,1,5,5,5,4,5,5,5,4,5,5,5,5,5,4,4,4,3,5,3,4,4,4,4,3,3,4,4,5,3,4,3,3,3,4,3,3,4,3,19,4.75
598,10599,female,82,1.0,0,5.0,2,1,3,2,0,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,5,5,4,4,3,3,4,4,3,4,3,4,3,3,4,4,3,3,4,4,3,3,15,3.75
599,10600,male,81,1.0,0,8.0,2,1,3,2,1,3,4,4,3,5,5,5,4,4,3,3,4,4,3,4,4,3,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,4,3,3,3,14,3.5
600,10601,female,82,1.0,0,6.0,3,1,3,2,1,3,4,4,3,4,4,4,4,4,4,3,4,4,2,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,4,4,3,4,14,3.5
601,10602,female,82,1.0,1,8.0,1,1,2,99,1,3,3,3,3,5,5,5,5,5,5,5,5,4,2,3,3,5,5,5,5,4,4,4,5,4,5,3,5,3,3,4,4,4,4,4,3,3,3,12,3.0
602,10603,male,82,1.0,0,6.0,2,1,3,1,0,2,3,3,3,2,2,1,1,4,4,4,5,4,4,4,4,5,5,5,5,4,4,4,3,2,4,5,4,5,5,4,5,4,5,5,4,5,4,11,2.75
603,10604,female,81,2.0,0,7.0,1,2,3,2,1,3,3,3,4,5,4,5,5,3,3,4,4,5,5,5,5,5,5,5,5,4,4,3,3,4,4,3,4,4,4,3,3,3,4,3,3,3,4,13,3.25
604,10605,male,82,1.0,0,9.0,2,1,3,2,0,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,5,5,5,5,2,3,5,5,5,5,5,5,4,3,5,3,2,5,3,14,3.5
605,10606,male,82,2.0,0,3.0,3,2,4,2,0,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,15,3.75
606,10607,male,82,2.0,0,17.0,2,3,5,2,1,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,4.25
607,10608,male,82,1.0,0,9.0,2,1,2,1,0,2,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,3.5
608,10609,male,81,1.0,0,5.0,3,1,3,4,1,1,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,3,5,3,5,3,5,3,3,3,3,3,3,3,3,16,4.0
